名称,城市,类型,级别,热度,地址
颐和园,北京·北京·海淀区,文化古迹,5A景区,热度 0.82,北京市海淀区新建宫门路19号
秦始皇帝陵博物院（兵马俑）,陕西·西安·临潼区,文化古迹,5A景区,热度 0.8800000000000001,陕西省西安市临潼县秦始皇陵东1.5公里处
八达岭长城,北京·北京·延庆县,文化古迹,5A景区,热度 0.82,北京市延庆县军都山关沟古道北口216省道附近
圆明园,北京·北京·海淀区,文化古迹,5A景区,热度 0.76,北京市海淀区清华西路28号
拙政园,江苏·苏州·平江区,文化古迹,5A景区,热度 1.0,江苏省苏州市平江区东北街178号
故宫,北京·北京·东城区,文化古迹,5A景区,热度 1.0,北京市东城区景山前街4号
天坛公园,北京·北京·东城区,文化古迹,5A景区,热度 0.8,北京市东城区天坛内东里7号
南京总统府,江苏·南京·玄武区,文化古迹,4A景区,热度 0.8,江苏省南京市玄武区长江路292号
西江千户苗寨,贵州·黔东南·雷山县,文化古迹,4A景区,热度 1.0,贵州省凯里市黔东南苗族侗族自治州雷山县西江镇南贵村
九寨沟,四川·阿坝藏族羌族自治州·九寨沟县,文化古迹,5A景区,热度 1.0,四川省阿坝藏族羌族自治州九寨沟县漳扎镇九寨沟
都江堰,四川·成都·都江堰市,文化古迹,5A景区,热度 1.0,四川省成都市都江堰市
恭王府,北京·北京·西城区,文化古迹,5A景区,热度 0.74,北京市西城区什刹海前海西街17号
乌镇,浙江·嘉兴·桐乡市,文化古迹,5A景区,热度 1.0,浙江省嘉兴市桐乡市乌镇石佛南路18号
张家界国家森林公园,湖南·张家界·武陵源区,文化古迹,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区
华清宫,陕西·西安·临潼区,文化古迹,5A景区,热度 0.9,陕西省西安市临潼区华清路038号
宏村,安徽·黄山·黟县,文化古迹,5A景区,热度 0.78,安徽省黄山市黟县宏村镇宏村里
灵山小镇拈花湾,江苏·无锡·滨湖区,文化古迹,5A景区,热度 0.0,江苏省无锡市滨湖区马山环山西路
泰山,山东·泰安·泰山区,文化古迹,5A景区,热度 1.0,山东省泰安市泰山区红门路54号
台儿庄古城,山东·枣庄·台儿庄区,文化古迹,5A景区,热度 0.0,山东省枣庄市台儿庄区华兴路东段
古北水镇,北京·北京·密云县,文化古迹,,热度 0.0,北京市密云县古北口镇司马台村古北水镇
少林寺,河南·郑州·嵩山,文化古迹,5A景区,热度 0.86,河南省郑州登封市西北13公里嵩山南麓
乌镇西栅,浙江·嘉兴·乌镇,文化古迹,,热度 0.0,浙江省嘉兴市桐乡市乌镇西大街
明十三陵,北京·北京·昌平区,文化古迹,5A景区,热度 0.72,北京市昌平区十三陵特区
青岩古镇,贵州·贵阳·花溪区,文化古迹,5A景区,热度 0.82,贵阳市花溪区交通路240号
杜甫草堂,四川·成都·青羊区,文化古迹,4A景区,热度 0.86,四川省成都市青羊区青华路37号
横店影视城,浙江·金华·东阳市,文化古迹,5A景区,热度 1.0,浙江省金华东阳市横店镇横店影视城
青城山,四川·成都·都江堰市,文化古迹,5A景区,热度 0.96,四川省成都市都江堰市青城山路
虎丘,江苏·苏州·金阊区,文化古迹,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号
周庄,江苏·苏州·昆山市,文化古迹,5A景区,热度 0.9,江苏省苏州市昆山周庄全福路43号
灵山大佛,江苏·无锡·灵山胜境,文化古迹,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号
南浔古镇,浙江·湖州·南浔区,文化古迹,5A景区,热度 0.0,浙江省湖州市南浔区南浔镇人瑞路51号
蓬莱阁,山东·烟台·蓬莱市,文化古迹,5A景区,热度 1.0,山东省烟台蓬莱市迎宾路7号
云冈石窟,山西·大同·南郊区,文化古迹,5A景区,热度 1.0,山西省大同市城西约16公里的武州山南麓
塔尔寺,青海·西宁·湟中县,文化古迹,5A景区,热度 1.0,青海省西宁市湟中县鲁沙尔镇
